"T","Po","Pa","U","Ff","N","Nh","VV","Td","tR","RRR"
"14.4","563.1","-1","88","5","0.95","0.95","3","12.4","3","1"
"12","565.2","1","84","3","0.5","0.1","20","9.4","24","1"
"13.3","564.8","1.1","91","2","0.95","0.25","15","11.9","6","1"
"13.9","563.7","-0.8","97","6","0.95","0.4","9","13.4","3","1"
"13.9","564.2","0.8","89","1","1","0.4","8","12.1","6","1"
"14.9","563.4","-0.9","86","2","0.95","0.25","8","12.6","3","1"
"9.8","565.5","0.9","97","2","0.5","0.25","10","9.3","24","1"
"12.2","564.3","1","94","1","1","0.4","10","11.2","6","1"
"12.9","563.3","-0.7","86","1","1","0.25","12","10.6","3","1"
"10.3","566.7","1.2","91","3","0.95","0.4","12","8.9","24","0"
"11.6","565.8","1.1","86","3","0.25","0.1","18","9.4","24","0"
"12.4","564.8","1.2","83","2","0.75","0.25","16","9.6","24","1"
"15.2","562.9","-0.8","67","4","0.95","0.25","15","9.1","3","1"
"11.2","563.4","0.9","85","1","0.95","0.1","14","8.8","3","0"
"12.1","563.4","1.7","97","1","0.95","0.4","10","11.6","6","1"
"13","563.7","-1.6","95","4","0.95","0.5","10","12.2","6","1"
"10.1","565.1","1.3","98","2","0.95","0.6","0.5","9.8","24","1"
"11.2","564.4","1.6","96","1","1","0.4","9","10.6","6","1"
"11.5","565.2","1.2","98","1","1","0.4","5","11.2","24","1"
"10.6","564","1.2","98","3","1","0.4","2","10.3","3","0"
"12","564.2","0.9","95","2","0.95","0.4","15","11.2","6","1"
"13.8","563.3","-0.7","85","3","1","0.6","8","11.3","3","1"
"10.9","566.1","-0.3","95","2","0.6","0.4","16","10.1","3","0"
"11.4","567","0.9","84","1","0.95","0.25","18","8.8","24","0"
"14.4","565.3","1.3","64","3","1","0.5","15","7.7","6","0"
"16.8","564.8","-1.2","59","10","1","0.5","18","8.8","6","0"
"10.6","565.2","0.8","95","1","1","1","14","9.8","24","1"
"12.1","564.6","-0.6","87","2","1","0.5","12","10","6","1"
"11.1","565.2","0.9","95","1","1","0.4","12","10.3","3","1"
"11.4","564.6","0.9","96","2","1","0.4","7","10.8","24","0"
"16.1","562.8","-0.8","74","3","0.95","0.6","8","11.5","3","0"
"11.9","565.5","0.9","94","1","0.75","0.4","8","11","24","1"
"14.2","564.6","1.3","79","1","0.95","0.95","16","10.6","6","0"
"9.8","565.9","0.7","88","2","0.95","0.4","15","7.9","24","0"
"10.8","565.5","0.6","96","1","1","0.6","6","10.2","24","1"
"14.4","563.4","-1.5","83","4","1","0.4","2","11.6","3","1"
"9.6","565.9","0.8","99","2","1","0.4","0.2","9.5","24","1"
"9.6","565.5","-0.8","98","1","0.6","0.4","3","9.3","6","0"
"10.2","566.3","1.4","97","2","0.75","0.25","10","9.7","3","0"
"13.8","563.6","-0.6","88","4","1","0.5","3","11.8","3","1"
"11.2","565.5","0.9","91","2","0.95","0.25","12","9.7","24","0"
"15.8","563.4","-1.5","68","2","1","0.4","15","9.9","3","0"
"8.9","565.5","0.8","98","0","0.95","0.4","8","8.6","24","1"
"15.4","563.7","-0.9","73","4","0.75","0.4","15","10.6","3","1"
"11.1","565.9","0.8","94","1","0.95","0.4","3.5","10.2","24","1"
"10.7","565.1","-0.4","97","2","1","0.5","8","10.2","3","0"
"10.6","565.5","-0.6","97","2","1","0.4","12","10.1","6","1"
"11.6","566.1","1.5","92","2","1","0.6","8","10.3","3","1"
"12.8","564.6","1.2","89","1","1","0.5","12","11","6","1"
"8.4","565.7","1.1","99","1","0.6","0.5","7","8.2","24","1"
"13.2","564.4","0.9","74","2","0.4","0.4","20","8.7","6","1"
"18.1","563.5","-1.3","66","2","0.4","0.4","16","11.6","3","1"
"9.6","565.4","0.6","97","1","0.95","0.95","16","9.2","24","0"
"13.2","564.4","0.6","74","1","0.4","0.4","20","8.7","6","0"
"14.9","563.8","-1","78","3","0.95","0.6","15","11.1","3","0"
"11.5","566.1","0.8","80","2","0.95","0.1","18","8.1","3","0"
"13.8","565.3","0.9","70","2","1","0.25","14","8.4","6","0"
"9.5","565.5","1","97","2","1","0.25","14","9","24","1"
"11","565.7","-0.2","92","1","0.95","0.25","15","9.8","6","0"
"11.5","565.9","1.1","96","1","0.75","0.25","15","10.9","3","0"
"11.5","564.9","0.6","91","3","0.5","0.4","20","10","24","1"
"12.8","564.2","1.3","84","2","0.95","0.4","9","10.2","6","1"
"16.7","562.9","-1.1","77","3","0.95","0.4","18","12.6","3","0"
"10.2","565.5","0.6","98","1","0.95","0.6","7","9.9","24","1"
"11.3","565.3","-0.4","95","1","0.95","0.25","20","10.5","6","1"
"11.8","565.7","1.5","94","3","1","0.25","14","10.9","3","1"
"14.4","564.2","0.5","83","2","1","0.5","8","11.6","6","0"
"11.1","566.7","0.8","87","2","1","0.6","15","9","24","0"
"16.9","564.8","-1.1","60","4","0.75","0.5","16","9.1","3","0"
"18.3","565.9","-1.3","56","8","0.75","0.6","14","9.4","6","0"
"14.1","567.2","1.1","85","3","0.95","0.75","4","11.6","3","0"
"10","566.1","0.8","94","1","0.75","0.5","15","9.1","24","0"
"15.2","564.4","-0.7","66","3","0.95","0.4","20","8.9","3","0"
"13.4","566.7","1.2","76","2","0.95","0.4","16","9.3","24","0"
"12.7","565.5","-0.8","80","2","1","0.4","18","9.3","3","0"
"9.3","566.1","0.8","93","2","0.95","0.4","5","8.2","24","0"
"15","565.3","-1.1","67","7","0.6","0.4","16","8.9","6","0"
"13.3","566.4","1.1","79","2","1","0.95","9","9.7","3","0"
"11.8","565.3","0.7","84","5","0.95","0.95","5","9.2","24","1"
"12.5","564.7","0.5","83","1","1","0.25","16","9.7","6","1"
"12.4","564.2","0.2","86","6","1","0.95","5","10.1","3","1"
"10.6","565.3","0.7","97","2","0.75","0.5","15","10.1","24","1"
"11.6","564.4","1","97","1","0.25","0.25","15","11.1","6","1"
"16","564.6","-0.9","79","3","0.95","0.95","9","12.4","6","1"
"11.4","564.8","0.8","97","2","0.75","0.75","15","10.9","24","1"
"11.3","564.6","0.8","95","1","1","0.25","15","10.5","6","1"
"13.4","564","0.8","88","2","1","0.75","10","11.5","6","1"
"14","565.2","0.7","82","18","0.05","0.6","10","10.7","24","1"
"11.5","564.9","-0.6","94","2","0.75","0.6","12","10.6","6","0"
"13","565.5","0","82","2","1","0.1","12","10","3","0"
"14.7","564","-0.9","84","4","1","0.6","12","12","3","0"
"15","564.9","-1.2","81","4","1","0.6","15","11.8","6","0"
"9.9","565.9","0.6","90","2","0.05","0.1","20","8.3","24","1"
"11.3","565.5","0.4","91","1","0.5","0.25","15","9.9","6","0"
"13.8","565.1","-0.1","81","4","1","0.5","12","10.6","3","1"
"14.1","565.2","-1","82","6","1","0.95","8","11","6","0"
"15.5","566.2","0.5","65","2","1","0.75","14","9","3","0"
"11.5","565.7","1","91","2","1","0.25","12","10.1","24","0"
"17","563.6","-1.2","57","3","0.95","0.5","15","8.3","3","0"
"9.6","565.3","0.6","91","1","0.95","0.1","14","8.2","24","0"
"13.5","563.8","0.6","84","2","0.75","0.25","12","10.9","6","0"
"15.3","563.2","-1.5","79","4","0.6","0.6","15","11.7","3","0"
"7.3","565.5","0.4","98","1","0.5","0.1","6","7","24","1"
"11.4","565.1","0.9","94","1","0.5","0.25","12","10.5","6","1"
"12.6","564.2","-1.1","93","5","0.75","0.5","10","11.5","3","1"
"10.3","566.1","0.9","75","2","0.25","0.1","16","6.1","24","0"
"15.2","563.7","-1.5","72","2","0.95","0.6","14","10.1","3","0"
"10","565.5","0.7","94","2","0.95","0.4","15","9.1","24","1"
"9","565.3","-0.8","94","1","0.75","0.25","12","8.1","3","0"
"9.7","566.1","0.8","92","2","0.4","0.25","12","8.5","3","0"
"13.6","564.4","-0.9","79","6","0.95","0.6","10","10","3","0"
"10.5","565.8","0.6","94","2","0.95","0.6","15","9.6","24","1"
"10.5","565.8","0.7","88","3","0.4","0.25","20","8.6","24","1"
"10.4","565.7","-0.5","93","2","0.25","0.1","20","9.3","6","1"
"11.9","566.2","1.4","97","2","0.4","0.4","16","11.4","3","1"
"14.2","564.8","0.6","83","2","0.95","0.25","10","11.4","6","0"
"6.4","566.1","0.6","98","1","0.05","0.1","15","6.1","24","1"
"17.5","565.1","-1","54","6","0.5","0.5","18","8.1","6","1"
"14.7","566.1","0.3","74","4","0.95","0.5","14","10.1","3","0"
"11.4","565.8","0.6","90","2","0.95","0.4","16","9.8","24","1"
"14","565.2","0.4","75","3","0.95","0.5","15","9.6","6","1"
"13.9","564.8","-0.3","90","2","1","1","9","12.3","3","1"
"11.8","566.1","0.6","94","1","0.75","0.75","6","10.9","24","1"
"16.3","566.1","-1.1","76","3","0.75","0.4","8","12.1","6","1"
"12","566.2","0.7","93","1","0.95","0.1","15","10.9","24","1"
"12.8","564.8","-0.7","95","3","1","0.6","15","12","3","1"
"11.3","566.6","-0.2","80","2","1","0.25","16","8","6","0"
"16.1","565.9","-0.8","65","8","0.95","0.5","16","9.5","6","1"
"14.5","566.7","0.6","77","6","1","0.95","12","10.5","3","1"
"11.1","566.1","0.9","94","2","1","0.6","4","10.2","24","1"
"16.1","565.9","0.6","64","2","1","0.6","16","9.3","3","0"
"11","565.3","0.7","92","3","1","0.4","16","9.8","24","1"
"11.3","565.2","0.9","90","2","0","0.25","2.1","9.7","24","1"
"16.1","564.6","-1.3","69","3","1","0.6","15","10.4","6","1"
"13.9","565.9","0.6","81","2","1","0.25","20","10.7","3","1"
"10.5","565.3","1","94","2","1","0.25","12","9.6","24","1"
"11.4","564.6","-0.5","98","2","1","0.25","15","11.1","6","1"
"10.9","564.4","0.4","94","2","0.95","0.25","15","10","24","0"
"10.7","564.9","0.3","90","2","0.5","0.25","20","9.1","24","1"
"12.8","564.2","0.6","77","3","0.95","0.25","20","8.9","6","1"
"16","563.6","-0.8","63","5","1","0.75","16","9","3","1"
"12.7","564.9","0.6","88","3","0.95","0.25","15","10.8","24","1"
"11.6","565.2","0.5","90","2","0.95","0.25","15","10","24","1"
"17.1","565.2","0.1","60","2","0.95","0.75","16","9.2","6","1"
